n,rho
0,1
1,1
2,1
3,1.00001
4,1.00001
5,1.00001
6,1.00001
7,1.00001
8,1.00002
9,1.00002
10,1.00002
11,1.00002
12,1.00002
13,1.00003
14,1.00003
15,1.00003
16,1.00003
17,1.00003
18,1.00004
19,1.00004
20,1.00004
21,1.00004
22,1.00004
23,1.00005
24,1.00005
25,1.00005
26,1.00005
27,1.00005
28,1.00006
29,1.00006
30,1.00006
31,1.00006
32,1.00006
33,1.00006
34,1.00007
35,1.00007
36,1.00007
37,1.00007
38,1.00007
39,1.00008
40,1.00008
41,1.00008
42,1.00008
43,1.00008
44,1.00009
45,1.00009
46,1.00009
47,1.00009
48,1.00009
49,1.0001
50,1.0001
51,1.0001
52,1.0001
53,1.0001
54,1.00011
55,1.00011
56,1.00011
57,1.00011
58,1.00011
59,1.00012
60,1.00012
61,1.00012
62,1.00012
63,1.00012
64,1.00013
65,1.00013
66,1.00013
67,1.00013
68,1.00013
69,1.00014
70,1.00014
71,1.00014
72,1.00014
73,1.00014
74,1.00015
75,1.00015
76,1.00015
77,1.00015
78,1.00015
79,1.00016
80,1.00016
81,1.00016
82,1.00016
83,1.00016
84,1.00017
85,1.00017
86,1.00017
87,1.00017
88,1.00017
89,1.00018
90,1.00018
91,1.00018
92,1.00018
93,1.00018
94,1.00018
95,1.00019
96,1.00019
97,1.00019
98,1.00019
99,1.00019
100,1.0002
101,1.0002
102,1.0002
103,1.0002
104,1.0002
105,1.00021
106,1.00021
107,1.00021
108,1.00021
109,1.00021
110,1.00022
111,1.00022
112,1.00022
113,1.00022
114,1.00022
115,1.00023
116,1.00023
117,1.00023
118,1.00023
119,1.00023
120,1.00024
121,1.00024
122,1.00024
123,1.00024
124,1.00024
125,1.00025
126,1.00025
127,1.00025
128,1.00025
129,1.00025
130,1.00026
131,1.00026
132,1.00026
133,1.00026
134,1.00026
135,1.00027
136,1.00027
137,1.00027
138,1.00027
139,1.00027
140,1.00028
141,1.00028
142,1.00028
143,1.00028
144,1.00028
145,1.00029
146,1.00029
147,1.00029
148,1.00029
149,1.00029
150,1.0003
151,1.0003
152,1.0003
153,1.0003
154,1.0003
155,1.00031
156,1.00031
157,1.00031
158,1.00031
159,1.00031
160,1.00032
161,1.00032
162,1.00032
163,1.00032
164,1.00032
165,1.00032
166,1.00033
167,1.00033
168,1.00033
169,1.00033
170,1.00033
171,1.00034
172,1.00034
173,1.00034
174,1.00034
175,1.00034
176,1.00035
177,1.00035
178,1.00035
179,1.00035
180,1.00035
181,1.00036
182,1.00036
183,1.00036
184,1.00036
185,1.00036
186,1.00037
187,1.00037
188,1.00037
189,1.00037
190,1.00037
191,1.00038
192,1.00038
193,1.00038
194,1.00038
195,1.00038
196,1.00039
197,1.00039
198,1.00039
199,1.00039
200,1.00039
201,1.0004
202,1.0004
203,1.0004
204,1.0004
205,1.0004
206,1.00041
207,1.00041
208,1.00041
209,1.00041
210,1.00041
211,1.00042
212,1.00042
213,1.00042
214,1.00042
215,1.00042
216,1.00043
217,1.00043
218,1.00043
219,1.00043
220,1.00043
221,1.00044
222,1.00044
223,1.00044
224,1.00044
225,1.00044
226,1.00045
227,1.00045
228,1.00045
229,1.00045
230,1.00045
231,1.00046
232,1.00046
233,1.00046
234,1.00046
235,1.00046
236,1.00047
237,1.00047
238,1.00047
239,1.00047
240,1.00047
241,1.00047
242,1.00048
243,1.00048
244,1.00048
245,1.00048
246,1.00048
247,1.00049
248,1.00049
249,1.00049
250,1.00049
251,1.00049
252,1.0005
253,1.0005
254,1.0005
255,1.0005
256,1.0005
257,1.00051
258,1.00051
259,1.00051
260,1.00051
261,1.00051
262,1.00052
263,1.00052
264,1.00052
265,1.00052
266,1.00052
267,1.00053
268,1.00053
269,1.00053
270,1.00053
271,1.00053
272,1.00054
273,1.00054
274,1.00054
275,1.00054
276,1.00054
277,1.00055
278,1.00055
279,1.00055
280,1.00055
281,1.00055
282,1.00056
283,1.00056
284,1.00056
285,1.00056
286,1.00056
287,1.00057
288,1.00057
289,1.00057
290,1.00057
291,1.00057
292,1.00058
293,1.00058
294,1.00058
295,1.00058
296,1.00058
297,1.00059
298,1.00059
299,1.00059
300,1.00059
301,1.00059
302,1.0006
303,1.0006
304,1.0006
305,1.0006
306,1.0006
307,1.00061
308,1.00061
309,1.00061
310,1.00061
311,1.00061
312,1.00062
313,1.00062
314,1.00062
315,1.00062
316,1.00062
317,1.00063
318,1.00063
319,1.00063
320,1.00063
321,1.00063
322,1.00064
323,1.00064
324,1.00064
325,1.00064
326,1.00064
327,1.00065
328,1.00065
329,1.00065
330,1.00065
331,1.00065
332,1.00066
333,1.00066
334,1.00066
335,1.00066
336,1.00066
337,1.00067
338,1.00067
339,1.00067
340,1.00067
341,1.00067
342,1.00068
343,1.00068
344,1.00068
345,1.00068
346,1.00068
347,1.00069
348,1.00069
349,1.00069
350,1.00069
351,1.00069
352,1.0007
353,1.0007
354,1.0007
355,1.0007
356,1.0007
357,1.00071
358,1.00071
359,1.00071
360,1.00071
361,1.00071
362,1.00072
363,1.00072
364,1.00072
365,1.00072
366,1.00072
367,1.00073
368,1.00073
369,1.00073
370,1.00073
371,1.00073
372,1.00074
373,1.00074
374,1.00074
375,1.00074
376,1.00074
377,1.00075
378,1.00075
379,1.00075
380,1.00075
381,1.00075
382,1.00076
383,1.00076
384,1.00076
385,1.00076
386,1.00076
387,1.00077
388,1.00077
389,1.00077
390,1.00077
391,1.00077
392,1.00078
393,1.00078
394,1.00078
395,1.00078
396,1.00078
397,1.00079
398,1.00079
399,1.00079
400,1.00079
401,1.00079
402,1.0008
403,1.0008
404,1.0008
405,1.0008
406,1.0008
407,1.00081
408,1.00081
409,1.00081
410,1.00081
411,1.00081
412,1.00082
413,1.00082
414,1.00082
415,1.00082
416,1.00082
417,1.00083
418,1.00083
419,1.00083
420,1.00083
421,1.00083
422,1.00084
423,1.00084
424,1.00084
425,1.00084
426,1.00084
427,1.00085
428,1.00085
429,1.00085
430,1.00085
431,1.00085
432,1.00086
433,1.00086
434,1.00086
435,1.00086
436,1.00086
437,1.00087
438,1.00087
439,1.00087
440,1.00087
441,1.00087
442,1.00088
443,1.00088
444,1.00088
445,1.00088
446,1.00088
447,1.00089
448,1.00089
449,1.00089
450,1.00089
451,1.00089
452,1.0009
453,1.0009
454,1.0009
455,1.0009
456,1.0009
457,1.00091
458,1.00091
459,1.00091
460,1.00091
461,1.00091
462,1.00092
463,1.00092
464,1.00092
